time_s,direct_x_m,direct_y_m,direct_z_m,direct_vx_mps,direct_vy_mps,direct_vz_mps,iter_x_m,iter_y_m,iter_z_m,iter_vx_mps,iter_vy_mps,iter_vz_mps,analytic_x_m,analytic_y_m,analytic_z_m,analytic_vx_mps,analytic_vy_mps,analytic_vz_mps
0.000000000000000000e+00,2.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.916863944718417923e+00,0.000000000000000000e+00,2.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.916863944718417923e+00,0.000000000000000000e+00,2.000000000000000000e+04,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-2.916863944718417923e+00,0.000000000000000000e+00
1.000000000000000000e+02,1.999946824640186969e+04,-2.916838093790964876e+02,0.000000000000000000e+00,-1.063502483545008398e-02,-2.916786392073524414e+00,0.000000000000000000e+00,1.999946824640186969e+04,-2.916838093790964876e+02,0.000000000000000000e+00,-1.063502483545008398e-02,-2.916786392073524414e+00,0.000000000000000000e+00,1.999946824640186605e+04,-2.916838093790965445e+02,0.000000000000000000e+00,-1.063502483545008225e-02,-2.916786392073524414e+00,0.000000000000000000e+00
2.000000000000000000e+02,1.999787301388365449e+04,-5.833521083666776121e+02,0.000000000000000000e+00,-2.126948414962792633e-02,-2.916553738262733564e+00,0.000000000000000000e+00,1.999787301388365813e+04,-5.833521083666774985e+02,0.000000000000000000e+00,-2.126948414962791592e-02,-2.916553738262733564e+00,0.000000000000000000e+00,1.999787301388365449e+04,-5.833521083666776121e+02,0.000000000000000000e+00,-2.126948414962791592e-02,-2.916553738262733564e+00,0.000000000000000000e+00
3.000000000000000000e+02,1.999521438727242639e+04,-8.749893873959982784e+02,0.000000000000000000e+00,-3.190281245133305688e-02,-2.916165995657495014e+00,0.000000000000000000e+00,1.999521438727243003e+04,-8.749893873959983921e+02,0.000000000000000000e+00,-3.190281245133304300e-02,-2.916165995657495458e+00,0.000000000000000000e+00,1.999521438727242275e+04,-8.749893873959983921e+02,0.000000000000000000e+00,-3.190281245133304994e-02,-2.916165995657495014e+00,0.000000000000000000e+00
4.000000000000000000e+02,1.999149250794160616e+04,-1.166580138549811181e+03,0.000000000000000000e+00,-4.253444430950700794e-02,-2.915623184876162011e+00,0.000000000000000000e+00,1.999149250794161344e+04,-1.166580138549811409e+03,0.000000000000000000e+00,-4.253444430950700100e-02,-2.915623184876162455e+00,0.000000000000000000e+00,1.999149250794160253e+04,-1.166580138549811409e+03,0.000000000000000000e+00,-4.253444430950701488e-02,-2.915623184876162455e+00,0.000000000000000000e+00
5.000000000000000000e+02,1.998670757380346549e+04,-1.458108856385005538e+03,0.000000000000000000e+00,-5.316381438330036735e-02,-2.914925334782893174e+00,0.000000000000000000e+00,1.998670757380348005e+04,-1.458108856385005993e+03,0.000000000000000000e+00,-5.316381438330033266e-02,-2.914925334782893618e+00,0.000000000000000000e+00,1.998670757380346913e+04,-1.458108856385005765e+03,0.000000000000000000e+00,-5.316381438330036735e-02,-2.914925334782893174e+00,0.000000000000000000e+00
6.000000000000000000e+02,1.998085983929860959e+04,-1.749560038757114853e+03,0.000000000000000000e+00,-6.379035745213484931e-02,-2.914072482486118165e+00,0.000000000000000000e+00,1.998085983929862414e+04,-1.749560038757114853e+03,0.000000000000000000e+00,-6.379035745213477993e-02,-2.914072482486118165e+00,0.000000000000000000e+00,1.998085983929860959e+04,-1.749560038757115080e+03,0.000000000000000000e+00,-6.379035745213483544e-02,-2.914072482486117721e+00,0.000000000000000000e+00
7.000000000000000000e+02,1.997394961538241841e+04,-2.040918187644647560e+03,0.000000000000000000e+00,-7.441350844575916890e-02,-2.913064673336564159e+00,0.000000000000000000e+00,1.997394961538243297e+04,-2.040918187644647787e+03,0.000000000000000000e+00,-7.441350844575908563e-02,-2.913064673336564159e+00,0.000000000000000000e+00,1.997394961538241478e+04,-2.040918187644648015e+03,0.000000000000000000e+00,-7.441350844575915502e-02,-2.913064673336564159e+00,0.000000000000000000e+00
8.000000000000000000e+02,1.996597726950852666e+04,-2.332167809973203475e+03,0.000000000000000000e+00,-8.503270247429689510e-02,-2.911901960924845323e+00,0.000000000000000000e+00,1.996597726950854485e+04,-2.332167809973203020e+03,0.000000000000000000e+00,-8.503270247429679796e-02,-2.911901960924845767e+00,0.000000000000000000e+00,1.996597726950852666e+04,-2.332167809973203020e+03,0.000000000000000000e+00,-8.503270247429689510e-02,-2.911901960924845767e+00,0.000000000000000000e+00
9.000000000000000000e+02,1.995694322560930959e+04,-2.623293418439317520e+03,0.000000000000000000e+00,-9.564737485828467278e-02,-2.910584407078613545e+00,0.000000000000000000e+00,1.995694322560932778e+04,-2.623293418439317520e+03,0.000000000000000000e+00,-9.564737485828453400e-02,-2.910584407078613989e+00,0.000000000000000000e+00,1.995694322560930596e+04,-2.623293418439317975e+03,0.000000000000000000e+00,-9.564737485828465891e-02,-2.910584407078613545e+00,0.000000000000000000e+00
